,nodes,edges,pos
1478,1478,"[95, 2462, 1822, 3192, 167, 3388]","[0.7797250195338652, 0.760605535714073]"
1479,1479,"[233, 3073, 3913, 2260, 787, 3682, 3928]","[0.860123440333519, 0.43238714478228046]"
1480,1480,"[502, 4175, 4083, 4299, 4830, 1283, 3476, 3809]","[0.46384156903629714, 0.5114545140745322]"
1481,1481,"[108, 480, 4380, 1767, 545, 800, 1425, 2014, 2279, 3767, 3944, 4084]","[0.3190887358558243, 0.4287498813127475]"
1482,1482,"[292, 739, 4979, 4690, 4002, 4904, 4905, 2728, 16, 97, 1275]","[0.43518278042844727, 0.20413777141331002]"
1483,1483,"[3852, 4065, 1622, 961, 2572, 2929, 4430]","[0.03400011714487172, 0.9399907852945806]"
1484,1484,"[784, 3402, 2709, 1800, 1759, 4544, 56, 370, 1022, 4037]","[0.42474719196886346, 0.03546676450503383]"
1485,1485,"[1057, 4968, 3979, 3830, 3508, 3563, 2948, 2417, 10, 356, 609, 1232, 2094, 2593, 2892, 2905, 3907, 4437]","[0.6777721844145697, 0.3797100242070732]"
1486,1486,"[431, 792, 968, 1896, 4457, 1068, 1744]","[0.9129366542556128, 0.5441544740876519]"
1487,1487,"[2284, 3276, 2248, 3154, 262, 3171, 3853, 4763]","[0.6712985780386234, 0.785931648882809]"
1488,1488,"[25, 113, 662, 3999, 4496, 3702, 3348, 3406, 2890, 709, 881, 1473, 1880, 1946]","[0.2734328003391795, 0.49321538678670884]"
1489,1489,"[349, 478, 927, 1430, 4286, 4376, 4660, 4832, 2897, 3725, 14, 38, 45, 240, 259, 305, 997, 1098, 1263, 1578, 1916, 2019, 2379, 2380, 2450, 3704, 3718, 4062, 4724]","[0.15302072735078576, 0.6594665033228615]"
1490,1490,"[58, 275, 3093, 26, 72, 889, 1124, 1951, 2209, 4244, 4954]","[0.48976942645012533, 0.5941086898269718]"
1491,1491,"[346, 1108, 1801, 3568, 4111, 2405, 4406, 3527, 2416, 2680, 2762, 4391]","[0.9324231900063755, 0.14301445266445267]"
1492,1492,"[1338, 3485, 3765, 422, 1853, 1994, 2189, 3440]","[0.6376811176434457, 0.8730609456061624]"
1493,1493,"[2, 61, 1038, 4110, 2278, 3780, 1004, 1439, 2111, 4350]","[0.6541017544151093, 0.647515157809617]"
1494,1494,"[172, 605, 734, 769, 2966, 4998, 4574, 4562, 2115, 588, 975, 1101, 1359, 3218, 3928, 4505]","[0.810482102086255, 0.45647889219204685]"
1495,1495,"[247, 3969, 2254, 3924, 1857, 3150, 3730]","[0.44969912553780345, 0.9870339593325114]"
1496,1496,"[683, 4124, 4569, 2758]","[0.9264219089093736, 0.670833165192493]"
1497,1497,"[1818, 3716, 2739, 2158, 4094, 3, 205, 257, 314, 460, 726, 1102, 1581, 1863, 3241, 3446, 3680]","[0.8015132826425748, 0.5187618690172954]"
1498,1498,"[254, 1503, 3025, 4662, 2484, 59, 1021, 1350, 1390]","[0.9236894296838017, 0.018254283359825818]"
1499,1499,"[186, 445, 3006, 1786, 4560, 2979, 3082, 844, 4019, 4620, 4638, 4922]","[0.9219841427686071, 0.8389763475583077]"
1500,1500,"[29, 207, 3307, 2556, 4472, 2191, 1906, 4793, 280, 403, 1370, 1551, 1877, 3090, 3171, 3327, 3570, 3783, 4790]","[0.6919626957480696, 0.7291781985560016]"
1501,1501,"[444, 1104, 1134, 2947, 2854, 2560, 4946, 3132, 4105, 226, 906, 1130, 2469, 3125, 3615, 4238, 4384, 4577]","[0.07997001862842712, 0.46493214504015856]"
1502,1502,"[737, 3191, 324, 516, 905, 1362, 1569, 1639]","[0.5167421946834827, 0.8576392820441651]"
1503,1503,"[59, 254, 1350, 1390, 1498, 3025, 730, 1021, 1159, 2190, 2484, 3045, 3256, 4662]","[0.913435221238655, 0.02998006827612143]"
1504,1504,"[681, 789, 1033, 1054, 4638, 4085, 3887, 4656, 4922, 4228, 1614, 4919, 186, 1260, 1467, 1534, 1786, 2887, 3006, 3943, 4019, 4653]","[0.9166577445460501, 0.798725644269372]"
1505,1505,"[32, 623, 1123, 1447, 3346, 2891, 2315, 4543, 2562, 2711, 1019, 1561, 1692, 2510, 3040, 3479, 3866]","[0.04478191529487463, 0.2791236375194377]"
1506,1506,"[105, 876, 957, 990, 2808, 4026, 3099, 1947, 1034, 1632, 2425, 4458]","[0.5391416876811681, 0.32698711055719876]"
1507,1507,"[386, 4709, 2567, 3122, 2917, 4807, 1776, 517, 804, 1953, 2683, 2836, 3535, 3961, 4301, 4751]","[0.792101067643668, 0.15410383292604857]"
1508,1508,"[457, 3252, 3351, 3404, 396, 972, 2749, 3909, 4602]","[0.7045832133147941, 0.0452802385157286]"
1509,1509,"[311, 2687, 4731, 1700, 1832, 2061, 11, 691, 1568, 1732, 1835, 2623, 2843, 3105, 3713, 3923]","[0.9662368302730088, 0.3313706332396491]"
1510,1510,"[693, 4136, 3184, 4001, 438, 831, 1785, 2306, 4335]","[0.0662256320370479, 0.8542290992904809]"
1511,1511,"[744, 797, 2534, 2590, 3377, 7, 91, 1404, 2388, 2894]","[0.2614673202069492, 0.27217816470057943]"
1512,1512,"[92, 525, 556, 716, 1231, 4708, 3595, 3158, 3363, 4, 202, 376, 1122, 1157, 1304, 1562, 2195, 2352, 2459, 2606, 2796, 3300, 4994]","[0.8206897330772591, 0.7181679486536914]"
1513,1513,"[139, 615, 4997, 2179, 3660, 3671, 3341, 229, 315, 351, 602, 765, 932, 1257, 2327, 2941, 3048, 3796]","[0.318596253442633, 0.8027757513407864]"
1514,1514,"[147, 258, 549, 1220, 1337, 3418, 3575, 2242, 4164, 4885, 3000, 42, 805, 991, 2342, 2599, 2763, 3009, 4057, 4227, 4345]","[0.470525636648906, 0.6624926706212281]"
1515,1515,"[120, 1216, 1328, 3953, 3469, 1778, 4118, 3693, 2578, 2047, 160, 1242, 1417, 1841, 2420, 2519, 2795, 2922, 4419]","[0.10772278592497841, 0.9510969826787865]"
1516,1516,"[4199, 4553, 3038, 3601, 1587, 4938, 1705, 4810, 193, 251, 401, 1461, 1680, 1955, 1978, 2522, 3147, 3447, 3755, 3782]","[0.5444795337899953, 0.2511368293423064]"
1517,1517,"[191, 1202, 1203, 2431, 3035, 4978, 1913, 279, 771, 908, 1255, 1768, 2293, 2576, 2644, 2734, 2757, 2849, 3137, 3726, 3766, 4475, 4618]","[0.39707909177540646, 0.09648449160917705]"
1518,1518,"[170, 606, 773, 3839, 163, 1821, 2514, 2702, 3668, 4409, 4778, 4086]","[0.20849796410487964, 0.8746327275442172]"
1519,1519,"[495, 1150, 2973, 2107, 2723, 2671, 136, 906, 3273, 3361, 4079, 4384]","[0.04466725700774776, 0.48956022202164384]"
1520,1520,"[30, 4609, 1683, 4871, 4706, 4651, 3754, 188, 530, 791, 1756, 2117, 2443, 3480, 3581]","[0.7347007260142079, 0.7637555789963486]"
1521,1521,"[2943, 2692, 1864, 3742, 287, 1001, 1265, 3633]","[0.9815650787151111, 0.9520455044915535]"
1522,1522,"[2855, 2635, 3274, 3239, 123, 2328, 2920]","[0.9111037639819951, 0.6253286666359696]"
1523,1523,"[4917, 4880, 4654, 3432, 1285, 2661, 2841, 3927]","[0.4272143433762239, 0.249969243100987]"
1524,1524,"[3248, 1988, 2566, 434, 2075, 2099]","[0.8843621704645386, 0.1430081307066331]"
1525,1525,"[1322, 4483, 2269, 4224, 4069, 330, 914, 1824, 2353, 2913, 3159]","[0.5025395753266435, 0.27876782141951695]"
1526,1526,"[204, 463, 748, 1135, 4172, 423, 529, 830, 1314, 1432, 2525, 2587]","[0.5526231888761742, 0.9222993128424185]"
1527,1527,"[107, 686, 2794, 4576, 3781, 4449, 2861, 2339, 4444, 521, 664, 1636, 1711, 1948, 2905, 3084, 4200, 4549, 4990]","[0.7310692233312791, 0.37320295832510986]"
1528,1528,"[717, 3027, 4873, 2899, 523, 672, 690, 794, 1762, 4050, 4060]","[0.379755518826014, 0.31242869625965575]"
1529,1529,"[811, 842, 852, 4590, 4418, 4154, 4005, 400, 473, 491, 1002, 1411, 1609, 2120, 2414, 4372]","[0.5496629782747674, 0.10552596381778867]"
1530,1530,"[232, 1115, 1407, 3380, 3062, 1712, 2716, 4503, 208, 1436, 1585, 2714]","[0.1871030828925755, 0.5368790937946598]"
1531,1531,"[3223, 1745, 4853, 2217, 3063, 2964, 2931, 3238, 3165, 399, 503, 777, 3430, 4548, 4635]","[0.3045010613923762, 0.18108883803720577]"
1532,1532,"[547, 704, 3579, 3840, 4012, 4145, 116, 673, 1845, 2136, 2864, 3759, 3901, 4443]","[0.6703910091662747, 0.5419120795998058]"
1533,1533,"[198, 3415, 4313, 244, 2089, 2814, 3041, 3643, 4829]","[0.46037569273212464, 0.37475167267456466]"
1534,1534,"[1126, 1467, 4919, 3104, 4952, 4085, 681, 1033, 1054, 1504, 1614, 2491, 4228, 4653, 4656]","[0.8890205322388413, 0.7946637220471586]"
1535,1535,"[692, 1315, 3640, 4839, 2432, 357, 1538, 2325, 2530, 4170]","[0.8608746355591576, 0.31266783391954167]"
1536,1536,"[783, 878, 952, 1198, 1423, 3639, 1628, 2965, 1924, 2883, 2500, 3477, 124, 174, 586, 1187, 1323, 1603, 1766, 1990, 2551, 2584, 2952, 3976, 4545]","[0.7879050852670936, 0.3772926770128777]"
1537,1537,"[69, 924, 1074, 4521, 2253, 4575, 3712, 4132, 1950, 3664, 4930, 23, 501, 1455, 1456, 3282, 3548, 4121, 4386, 4912]","[0.46524954088506076, 0.8383763341804835]"
1538,1538,"[357, 4033, 1689, 4277, 3640, 692, 1315, 1535, 1682, 2801, 3069, 4596, 4597]","[0.8579156714517895, 0.3357683482127697]"
1539,1539,"[566, 1176, 1233, 2411, 1886, 949, 1266, 1273, 2204, 2447, 3064, 4208]","[0.5370029003207535, 0.07662265953647596]"
1540,1540,[343],"[0.9832313107305463, 0.754200828573646]"
1541,1541,"[713, 726, 1171, 3218, 1679, 1581, 3241, 2115, 3716, 4094]","[0.8175847922656377, 0.5001883090589607]"
1542,1542,"[70, 96, 3264, 3123, 4721, 2161, 770, 2134, 4415, 4522]","[0.020528226545139305, 0.6730768306545225]"
1543,1543,"[385, 856, 4358, 1932, 2157, 467, 1237, 1870, 2526, 3055, 3121, 3201, 3516, 4333, 4749]","[0.5794828842401013, 0.4111834161192077]"
1544,1544,"[152, 1148, 1221, 3561, 4397, 4417, 3632, 479, 1367, 1392, 2477, 2600, 3752, 4338, 4804]","[0.6914000810727938, 0.2236608620581283]"
1545,1545,"[154, 157, 675, 2816, 1831, 1919, 4027, 1363, 3095, 3424, 4281, 4423, 4889]","[0.49869285743663994, 0.1281264422598376]"
1546,1546,"[742, 938, 1278, 2087, 4512, 347, 845, 1641, 2812, 3231, 4271]","[0.20273208378616003, 0.6028605005416514]"
1547,1547,"[138, 886, 1200, 1329, 2470, 4412, 2777, 50, 475, 555, 1761, 2611, 2960]","[0.6299531851186105, 0.7505686938350964]"
1548,1548,"[582, 723, 4890, 2116, 3825, 3240, 4177, 2415, 2404, 3100, 171, 487, 859, 866, 1917, 3281, 3879, 3975, 3987, 4007, 4070]","[0.9876933614860247, 0.5413564447881268]"
1549,1549,"[1037, 2888, 2533, 3443, 4899, 3313, 63, 285, 834, 1850, 2347, 2496, 3270, 3369, 4264]","[0.027199957461246815, 0.5703389150032045]"
1550,1550,"[3200, 1853, 1994, 1715, 422, 944, 1338, 3440, 3765, 4771]","[0.6624506373663158, 0.8945193561984832]"
1551,1551,"[403, 817, 3090, 2191, 1877, 4793, 2556, 3327, 29, 280, 1329, 1370, 1500, 1761, 1906, 3171, 3570, 4472]","[0.6674278960599132, 0.7358167875036633]"
1552,1552,"[1120, 4697, 2214, 3992, 2949, 295, 1602, 2644, 3137, 3766, 3803, 4268, 4836]","[0.3614800763042333, 0.13186672495904384]"
1553,1553,"[246, 352, 500, 910, 2865, 169, 215, 1394, 3086, 3695, 4754]","[0.5389441316331247, 0.6369378345256428]"
1554,1554,"[3083, 4424, 3631, 3097, 1842, 39, 319, 766, 1091, 1303]","[0.36724467095965074, 0.9422602307858022]"
1555,1555,"[3285, 1731, 3983, 1652, 1965, 4139, 97, 1560, 1717, 4284, 4353, 4462, 4760]","[0.38167313184156737, 0.21940820494837732]"
1556,1556,"[4681, 4285, 1808, 3338, 2208, 2626, 2987, 3734, 3971, 4744]","[0.29931781147255865, 0.3062756856305894]"
1557,1557,"[843, 933, 3167, 4234, 3823, 977, 1920]","[0.4543787189008819, 0.1698131843195887]"
1558,1558,"[22, 751, 3685, 4401, 4140, 4818, 4707, 452, 618, 932, 1023, 1113, 1574, 2261, 2505, 3935, 3978, 4488, 4915]","[0.2924581181907565, 0.8488096689713502]"
1559,1559,"[361, 671, 1235, 4441, 3175, 3776, 4533, 3703, 2637, 2043, 89, 166, 1471, 1811, 2020, 2127, 2657, 2871, 3475, 4642, 4677]","[0.3740890031731974, 0.622748332537941]"
1560,1560,"[841, 1008, 1240, 3983, 4760, 1717, 4139, 703, 759, 1555, 1797, 1965, 2506, 2642, 3285, 4008]","[0.3655029553928537, 0.233331368002747]"
1561,1561,"[623, 1061, 1692, 2557, 3866, 1828, 3346, 1882, 2711, 666, 1123, 1446, 1505, 2315, 2562, 2891, 2940, 4543, 4632, 4655]","[0.06785669597241151, 0.2773823073413335]"
1562,1562,"[92, 1735, 2195, 4476, 4046, 2091, 955, 1195, 1231, 1308, 1512, 1888, 2352, 3051, 3158, 4708, 4737]","[0.8446641330112992, 0.7360225194710346]"
1563,1563,"[862, 4977, 123, 3676]","[0.955516081987306, 0.6081440769811027]"
1564,1564,"[506, 607, 1457, 2838, 1667, 2175, 2374, 1803, 3442, 2444, 2577, 3389, 4431]","[0.1295395987529031, 0.16005853991034624]"
1565,1565,"[2571, 4682, 4640]","[0.23179124358527692, 0.2749485605554105]"
1566,1566,"[418, 1412, 2519, 3768, 2520, 2129, 3253, 3033, 899, 2578, 3469, 3939, 4312, 4851]","[0.15512687347343423, 0.9456279650341586]"
1567,1567,"[1955, 3755, 3447, 4810, 3782, 1978, 1587, 1680, 3601]","[0.5668580023318159, 0.2333059924945533]"
1568,1568,"[311, 691, 898, 1835, 4098, 4668, 1732, 3620, 2623, 3923, 11, 1509, 1700, 1832, 2061, 2687, 4916]","[0.9417767848916919, 0.31170239614458417]"
1569,1569,"[1455, 4637, 3962, 3191, 3617, 4469, 3282, 324, 684, 924, 1502, 1596, 3087, 4495, 4860]","[0.4924332252271798, 0.8742554462594929]"
1570,1570,"[1262, 1267, 4802, 2708, 2629, 1624, 2969, 3140, 4484, 401, 847, 1107, 1264, 1589, 1724, 2988, 3381, 3606, 3881, 4252]","[0.6081993109073093, 0.2547769220417312]"
1571,1571,"[1128, 1366, 3144, 3445, 4578, 1829, 4137, 3399, 4309, 1339, 1861, 2383, 2645, 3303, 3697, 3905, 4152]","[0.7200983088710793, 0.11880430512675899]"
1572,1572,"[701, 755, 1415, 1814, 4947, 1840, 2650, 1879, 3189]","[0.9177013134272217, 0.36509671208564054]"
1573,1573,"[627, 1400, 2509, 3692, 1757, 27, 907, 1635, 1907, 3597, 4120, 4192]","[0.5610897076708823, 0.685694989011192]"
1574,1574,"[751, 1155, 2105, 2412, 3585, 4401, 2245, 3950, 3685, 367, 452, 1113, 1398, 1558, 2216, 3186]","[0.31737766591462613, 0.8514035121160455]"
1575,1575,"[761, 1449, 3636, 4456, 1739, 206, 282, 1609, 2016, 2453, 2753, 3833, 4207]","[0.5904429423835775, 0.1581652021431046]"
1576,1576,"[955, 1195, 1888, 4737, 3455, 3496, 3383, 1191, 2091]","[0.861947728232371, 0.7667067619509998]"
1577,1577,"[962, 1435, 3688, 2375, 4663, 4247, 3032, 1254, 2610, 3709, 3854]","[0.7722085009784294, 0.8686859928241843]"
1578,1578,"[38, 349, 478, 591, 4286, 3704, 4660, 2019, 4479, 100, 143, 927, 997, 1263, 1430, 1489, 1956, 1969, 2897, 3249, 3391, 3722, 4376]","[0.17356954559312876, 0.6740107867008206]"
1579,1579,"[9, 1098, 4291, 2273, 4271, 2340, 45, 222, 273, 845, 849, 1170, 1916, 2163, 2329, 2450, 3721, 3725, 4241, 4724, 4832]","[0.15099216329550513, 0.6153544884345158]"
1580,1580,"[2778, 4142, 2671, 3273, 4043]","[0.008231664135677219, 0.5100298979930039]"
1581,1581,"[713, 726, 1171, 1541, 1679, 3218, 3241, 4094, 1090, 1497, 2115, 3716]","[0.8189814125481155, 0.5030081277585011]"
1582,1582,"[882, 1022, 2285, 1984, 2516, 3428, 370, 682, 3070, 3143, 3402, 3532]","[0.454914875034349, 0.005721556248174053]"
1583,1583,"[766, 4567, 4267, 1935, 1930, 33, 476, 1419, 2070, 3083, 3405, 3646, 4010]","[0.39870266335709903, 0.9472434049767879]"
1584,1584,"[257, 484, 729, 1078, 1102, 1897, 4976, 4174, 3, 1806, 2158, 3716, 4094, 4812]","[0.8118040817541463, 0.5476840429180043]"
1585,1585,"[47, 782, 1115, 1117, 1143, 3054, 1794, 3773, 3622, 232, 424, 1407, 1530, 1687, 2438, 2716, 3380, 3434]","[0.16248140467890027, 0.548946700153828]"
1586,1586,"[1769, 4633, 2430, 10, 1388, 1636, 2094, 3343]","[0.6973337836541014, 0.33493257681666544]"
1587,1587,"[193, 1516, 3601, 3755, 3038, 1978, 1680, 1955, 3782, 1705, 4810, 251, 644, 1461, 1567, 3447, 4199, 4553, 4938]","[0.5460091818432617, 0.23317235630814093]"
1588,1588,"[1004, 1426, 1038]","[0.6364110845952347, 0.6795282325946306]"
1589,1589,"[440, 1024, 1264, 3140, 4252, 2708, 2649, 4563, 3606, 4289, 299, 453, 1179, 1262, 1267, 1570, 1651, 2121, 2335, 2782, 2969, 3247, 3678, 4802]","[0.6334388549262073, 0.26645335287887495]"
1590,1590,"[1466, 4056, 1775, 3400, 3645, 3732, 2359, 377, 773, 983, 1361, 1825, 2495, 2514, 3023, 3320, 3560, 4205, 4337, 4843]","[0.24838338734859355, 0.8877569251966899]"
1591,1591,"[770, 896, 2134, 2767, 3505, 3857, 3127, 3690, 4134, 70, 360, 459, 3264, 3370, 3894, 4721]","[0.034508207093525645, 0.7051290608731005]"
1592,1592,"[350, 3306, 2255, 290, 872, 981, 1213, 2909, 3706, 4649]","[0.7505335055349682, 0.2466750078838691]"
1593,1593,"[1012, 1446, 2510, 3413, 1450, 1599, 3346, 3866, 4053, 4632]","[0.055801089441279705, 0.24956356376397304]"
1594,1594,"[112, 781, 3761, 2997, 2843]","[0.9989616002898413, 0.2990531645253838]"
1595,1595,"[73, 3790, 4516, 3155, 415, 578, 656, 1472, 2228, 2787, 3078]","[0.918168521004914, 0.2436442117905243]"
1596,1596,"[3617, 3282, 3962, 4386, 924, 1569, 2253, 3191, 4469]","[0.49541224884281, 0.8540691146930985]"
1597,1597,"[577, 803, 1468, 3863, 2639, 3859, 2360, 3802, 3457, 3487, 538, 2167, 2592, 2712, 3257, 3347, 3439, 3774, 3851, 4068]","[0.9302489732690302, 0.481717268153128]"
1598,1598,"[4115, 2371, 3211, 3057, 594, 635, 1987, 2640, 2721, 3687]","[0.8735370533904548, 0.10469355189654095]"
1599,1599,"[735, 1012, 1859, 4053, 3413, 1450, 1593, 2999, 4632, 4644]","[0.07688006207666065, 0.22553601890609132]"
1600,1600,"[1373, 4290, 2074, 1601, 105, 914, 3763, 4564]","[0.552690517674019, 0.29002986602203173]"
1601,1601,"[914, 1600, 3763, 2045, 2074, 4222, 105, 330, 1373, 2269, 2353, 3147, 3436, 4290, 4938]","[0.5336588351340831, 0.2899965237201957]"
1602,1602,"[295, 908, 1395, 4268, 2949, 2330, 4293, 419, 771, 963, 1120, 1343, 1552, 1855, 2013, 2644, 2757, 2849, 3035, 3137, 3245, 4165, 4221]","[0.34898608520827723, 0.10553174113303188]"
1603,1603,"[521, 952, 1030, 1423, 2584, 2965, 2082, 2262, 2883, 174, 686, 783, 989, 1536, 1924, 1948, 2596, 2874, 3477, 3847, 3919, 4200, 4356]","[0.7817584057880994, 0.35342338557571373]"
1604,1604,"[306, 656, 578, 1874, 3790]","[0.8701498515017568, 0.26822599498933697]"
1605,1605,"[542, 629, 1345, 4716, 4531, 2271, 2463, 4467, 1904, 4130, 304, 449, 1127, 1620, 2675]","[0.5991534409548434, 0.045218764840015524]"
1606,1606,"[405, 3734, 4967, 1730, 2365, 672, 901, 1162, 1808, 2856, 3466, 4285]","[0.33698724048737727, 0.2810039201587078]"
1607,1607,"[937, 1884, 2528, 2766, 2882, 2554, 2235, 1933, 3392, 158, 1847, 1925, 4614]","[0.9697040468052076, 0.23782935844959063]"
1608,1608,"[849, 2852, 4487, 2252, 4856, 2774, 55, 222, 243, 464, 1170, 1663, 2340, 2456, 2815, 3237, 3721]","[0.12261386704024402, 0.590563321694436]"
1609,1609,"[282, 400, 469, 1002, 1411, 3277, 2713, 1944, 4418, 2453, 3636, 122, 1529, 1575, 1739, 3468, 4950]","[0.5801278728271273, 0.1289574291581238]"
1610,1610,"[861, 2331, 2824, 2029, 2680, 2361, 3610, 3673, 326, 687, 4045, 4536, 4858, 4925]","[0.9594365668952421, 0.09755170246248757]"
1611,1611,"[874, 4421, 4855, 1875, 4939, 4125, 394, 1476, 4254]","[0.41576695737109726, 0.8695186940972051]"
1612,1612,"[320, 654, 904, 2914, 3770, 4773, 1662, 2670, 3701]","[0.9822216711763007, 0.7248997482165369]"
1613,1613,"[88, 3722, 3331, 1956, 3249, 4479, 38, 100, 143, 159, 513, 591, 1410, 3185, 3291, 3395, 3883, 4049, 4907]","[0.20045560999384437, 0.6914787004605508]"
1614,1614,"[681, 789, 1033, 1054, 1504, 4919, 4228, 4085, 4656, 1260, 1534, 4019, 4638, 4922]","[0.912509253940811, 0.7944650478486291]"
1615,1615,"[550, 2664, 4808, 2958, 3807, 2967, 4928, 3040, 1976, 2399, 3451, 3705, 3860, 4315, 4705, 4710]","[0.0130536421794607, 0.23868481901446692]"
1616,1616,"[1363, 4820, 1903, 2135, 4889, 4588, 3195, 154, 702, 1239, 1919, 3841, 4211, 4281]","[0.4654261513461446, 0.10241990600241946]"
1617,1617,"[2722, 4688, 2906, 564, 2427, 3005, 3380, 4894]","[0.15279228238012676, 0.5034907737035399]"
1618,1618,"[1201, 1270, 2968, 1885, 436, 673, 2210, 4443]","[0.6757328898864166, 0.6054859387468318]"
1619,1619,"[234, 945, 2290, 3611, 4906, 2727, 4194, 2165, 3008, 2441, 3805, 3015, 4700, 4865, 4797, 437, 1223, 2160, 2275, 2396, 2744, 2842, 2885, 3194, 3499, 3603]","[0.30639584494006566, 0.574955071019969]"
1620,1620,"[629, 1127, 1345, 4467, 304, 449, 1605, 1904, 2271, 2463, 2675, 4130]","[0.6186085147441317, 0.03138329581656418]"
1621,1621,"[289, 404, 1138, 3538, 2382, 1694, 3255, 3985, 308, 633, 2055, 4428]","[0.9213820423877858, 0.8852176348804649]"
1622,1622,"[1483, 4065, 2929, 2572, 3852, 4430, 631, 1224, 1843, 1952, 2323, 3542]","[0.03222087974437304, 0.9587878379293613]"
1623,1623,"[657, 1194, 3650, 3514, 2748, 4595, 2294, 4519, 560, 2472, 2685, 2750, 3299, 4908]","[0.6860637688069445, 0.9773842183476971]"
1624,1624,"[847, 1107, 1570, 3881, 3740, 4484, 2629, 401, 1262, 1267, 1724, 2630, 2969, 2988, 4802]","[0.5967928388992615, 0.2390091345226384]"
1625,1625,"[1070, 2995, 4482, 4783, 163, 640, 851, 1424, 1716, 2033, 2338, 4874]","[0.22161836567194015, 0.8117654047726403]"
1626,1626,"[1000, 1469, 2002, 2183, 4646, 3574, 1977, 668, 808, 939, 3297, 3551, 4273]","[0.5816577768557715, 0.5495948882537959]"
1627,1627,"[774, 863, 870, 3088, 4726, 4971, 3368, 4395, 309, 594, 1945, 1987, 1998, 2139, 2721, 2990, 4883]","[0.8319682351057373, 0.10394631647699792]"
1628,1628,"[124, 537, 783, 1423, 1536, 3639, 1924, 2500, 1990, 174, 586, 878, 952, 1198, 1766, 2584, 2952, 2965, 3477]","[0.7942502375232294, 0.382304452289701]"
1629,1629,"[614, 909, 2265, 3835, 3869, 4520]","[0.882036783965737, 0.6596333381301516]"
1630,1630,"[1106, 4863, 2206, 4326, 4363, 4530, 4747]","[0.8128933483985517, 0.5981811674279074]"
1631,1631,"[407, 678, 1277, 2563, 2908, 4833, 3296, 153, 230, 1695, 2178, 2440, 3068, 3444, 4190, 4245, 4691]","[0.7053178164489765, 0.8217733901423137]"
1632,1632,"[165, 802, 1947, 2808, 2425, 2426, 4436, 2428, 4458, 197, 695, 718, 876, 1506, 2101, 2743, 3099, 3357, 3584, 3878, 4344, 4961]","[0.5536277362811003, 0.3503550235284454]"
1633,1633,"[722, 757, 1311, 1779, 3577, 82, 2018, 2395, 2457, 2535, 2681, 3366, 3566, 4302, 4992]","[0.745691041719455, 0.6022581630055034]"
1634,1634,"[920, 3135, 4189, 3233, 3707, 4131, 408, 1380, 2297, 3385]","[0.06709283991310144, 0.062154535394044697]"
1635,1635,"[27, 907, 3597, 3692, 140, 1573, 1757, 2515, 2924, 3414, 4468]","[0.5659378793830012, 0.6530807576595222]"
1636,1636,"[10, 1769, 2094, 4444, 3160, 686, 1057, 1527, 1586, 2339, 2409, 2417, 2861, 3084, 4437, 4633]","[0.7123939431567443, 0.3565702168575312]"
1637,1637,"[533, 4352, 3022, 1711, 340, 1005, 3781, 4171, 4425, 4449]","[0.7227528104276503, 0.4196166288708333]"
1638,1638,"[146, 670, 4616, 4511, 2583, 3315, 935, 1996, 3412, 3735]","[0.014766297016323038, 0.8789386792473196]"
1639,1639,"[12, 737, 905, 1362, 1699, 4038, 2052, 2684, 4800, 3512, 2042, 3172, 324, 498, 516, 900, 1314, 1502, 2148, 2525, 2912, 3089, 3618]","[0.5478719916626862, 0.8681341441922055]"
1640,1640,"[261, 799, 1397, 2137, 4168, 2678, 3960, 559, 1261, 1749, 2103, 3689, 4073, 4389, 4448, 4911, 3166]","[0.49968325045833806, 0.9673363106345462]"
1641,1641,"[674, 742, 1278, 3231, 2812, 347, 954, 1546, 2329, 2651, 4612]","[0.19874420684310223, 0.6242793966985017]"
1642,1642,"[148, 200, 332, 448, 477, 643, 743, 4490, 2156, 3148, 3547, 3308, 2858, 608, 1848, 2421, 2663, 3663, 3813, 3954]","[0.16677066215137315, 0.19888231936967382]"
1643,1643,"[255, 827, 2313, 3868, 3972, 2305, 2879, 4121]","[0.4751427414918148, 0.7873134391559742]"
1644,1644,"[106, 756, 931, 3350, 4106, 4157, 414, 943, 2051, 2310, 2700, 2737, 3102, 3199, 4535]","[0.737377703843393, 0.16740159603545046]"
1645,1645,"[179, 572, 2755, 2831, 2357, 2932, 1086, 1713, 2724, 2919, 3558, 3795, 4883]","[0.8496705948006812, 0.035811398643065706]"
1646,1646,"[3630, 1659, 3186, 3736, 4528, 4529, 94, 260, 1014, 1360, 2250, 3301, 3950, 4096]","[0.36201282953672587, 0.8737644196077518]"
1647,1647,"[1140, 2878, 689, 3955]","[0.0639804348577434, 0.33082575014346605]"
1648,1648,"[508, 2384, 3098, 3378, 857, 1088, 1846]","[0.6787138883605185, 0.003438323283742273]"
1649,1649,"[1006, 3772, 3713, 2337, 4947, 701, 1823, 2650, 4731]","[0.9393529849507894, 0.36156720072826365]"
1650,1650,"[2869, 3036, 2540, 2725, 836, 956, 2490, 2613, 3173]","[0.5341373869600988, 0.5112326672254772]"
1651,1651,"[299, 440, 1024, 4289, 2601, 3247, 2782, 2121, 2649, 3678, 4563, 453, 528, 1179, 1264, 1589, 1707, 2978, 3140, 3503, 3606, 4252]","[0.6424750029245468, 0.284485643202137]"
1652,1652,"[1555, 3983, 1731, 3285, 4284, 1965, 4139, 97, 1717, 4353, 4760]","[0.3808562072992412, 0.21535342527720414]"
